[2018-03-14 10:01:56,414] - logger.py] - INFO: 日志测试
[2018-03-14 10:08:08,931] - logger.py] - INFO: 进入PHP考场成功
[2018-03-14 10:10:11,825] - logger.py] - INFO: 进入C++考场成功!
[2018-03-14 10:10:33,788] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:11:46,419] - logger.py] - INFO: 进入C++考场成功!
[2018-03-14 10:12:13,191] - logger.py] - INFO: 进入PHP考场成功!
[2018-03-14 10:12:13,300] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:12:13,457] - logger.py] - INFO: 进入C++考场成功!
[2018-03-14 10:14:03,502] - logger.py] - INFO: 进入PHP考场成功!
[2018-03-14 10:14:04,034] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:14:04,518] - logger.py] - INFO: 进入C++考场成功!
[2018-03-14 10:14:53,941] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:16:51,353] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:17:06,501] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:17:41,675] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:17:48,943] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:17:54,124] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:17:59,953] - logger.py] - INFO: 进入PHP考场成功!
[2018-03-14 10:18:00,124] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:18:00,406] - logger.py] - INFO: 进入C++考场成功!
[2018-03-14 10:18:24,761] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:35:25,378] - logger.py] - INFO: 进入PHP考场成功!
[2018-03-14 10:35:25,471] - logger.py] - INFO: 进入web考场成功!
[2018-03-14 10:35:25,628] - logger.py] - INFO: 进入C++考场成功!
[2018-03-14 10:47:45,152] - logger.py] - INFO: 进入PHP考场成功!
[2018-03-14 10:55:10,517] - logger.py] - INFO: 注册成功，手机号为：17688169417
[2018-03-14 10:59:54,081] - logger.py] - INFO: 注册失败，手机号17688169411已被注册！
